epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.8156,1.03353,1.1502,0.02289,0.86535,0.84714,0.9013,0.64716,1.01214,0.64918,0.03314,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254
2,125.078,1.01593,0.66344,0.02256,0.91536,0.8745,0.93509,0.67335,1.00864,0.56105,0.03109,0.0197784,0.00659281,0.0197784,0.00659281,0.0197784,0.00659281,0.0197784,0.00659281
3,182.453,1.07748,0.69155,0.02428,0.82926,0.78538,0.8459,0.4918,1.37743,0.882,0.04785,0.0293827,0.00979422,0.0293827,0.00979422,0.0293827,0.00979422,0.0293827,0.00979422
4,239.659,1.13395,0.72727,0.02556,0.86631,0.89667,0.93209,0.67118,1.0102,0.57174,0.03191,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,296.821,1.07282,0.69363,0.02376,0.89461,0.84553,0.92476,0.6452,1.10455,0.60707,0.03506,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,354.048,1.03442,0.65909,0.02255,0.87957,0.87369,0.93363,0.69017,0.91968,0.54501,0.02772,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,411.315,1.00407,0.62176,0.02171,0.91972,0.88576,0.93783,0.7041,0.91351,0.51997,0.0278,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,468.621,0.98961,0.60516,0.02117,0.90681,0.92116,0.95458,0.73099,0.86503,0.43519,0.02586,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,526.048,0.96239,0.5805,0.0207,0.90356,0.89694,0.94807,0.74223,0.8299,0.43295,0.0243,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,583.464,0.94833,0.57245,0.02026,0.93795,0.89986,0.95851,0.75787,0.78035,0.39782,0.02276,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,640.723,0.92618,0.55629,0.01967,0.93401,0.91088,0.96034,0.76433,0.78481,0.40484,0.02308,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,698.007,0.90993,0.5527,0.01924,0.92935,0.91553,0.95764,0.76471,0.78993,0.40502,0.02298,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,755.324,0.89576,0.5314,0.01897,0.92444,0.90554,0.96134,0.76074,0.76811,0.40687,0.02259,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,812.858,0.88689,0.52041,0.0187,0.94277,0.90125,0.96399,0.77778,0.75158,0.38216,0.0219,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,870.408,0.8734,0.51976,0.01826,0.93698,0.91874,0.96898,0.76289,0.7993,0.39046,0.02361,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,927.895,0.85832,0.50567,0.01803,0.94099,0.91084,0.96424,0.77512,0.75061,0.39305,0.02195,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,985.329,0.84895,0.49952,0.01778,0.94378,0.9099,0.97041,0.77165,0.77761,0.38246,0.02283,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1042.91,0.84327,0.48816,0.01766,0.94963,0.91011,0.96896,0.77915,0.76136,0.37079,0.02208,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1100.7,0.83551,0.48032,0.01733,0.93628,0.92204,0.9652,0.78082,0.75219,0.38427,0.02196,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1158.14,0.83739,0.48375,0.0176,0.93571,0.90909,0.9628,0.78422,0.71754,0.37757,0.02074,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1215.7,0.83,0.4794,0.01724,0.9302,0.93242,0.97171,0.79467,0.71737,0.3638,0.02058,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1273.55,0.81487,0.463,0.01692,0.93618,0.92357,0.97253,0.79899,0.71196,0.37408,0.02039,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1331.47,0.80845,0.45719,0.0167,0.93891,0.92518,0.97135,0.80328,0.68075,0.36027,0.01938,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1389.2,0.80124,0.45335,0.01647,0.93028,0.92357,0.97283,0.80306,0.68815,0.35663,0.01959,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1446.95,0.79399,0.44733,0.01639,0.92699,0.93974,0.97293,0.8032,0.6913,0.36545,0.01967,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1504.81,0.79199,0.43634,0.01632,0.93868,0.92438,0.96919,0.7947,0.70455,0.35818,0.02019,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1562.38,0.78671,0.43467,0.01621,0.92221,0.94449,0.96991,0.80969,0.66751,0.33384,0.01878,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1620.04,0.77837,0.42693,0.0161,0.95183,0.91472,0.97276,0.81294,0.66836,0.33948,0.01891,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1677.67,0.76906,0.42391,0.0158,0.93089,0.93189,0.9718,0.81516,0.65925,0.33258,0.0186,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1735.43,0.76752,0.41016,0.01569,0.93484,0.93495,0.96937,0.81466,0.66295,0.3381,0.01876,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1793.1,0.7611,0.41104,0.0155,0.94018,0.94288,0.97577,0.8147,0.66894,0.32397,0.01893,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1850.87,0.75738,0.40861,0.01551,0.96241,0.9269,0.97529,0.81737,0.66261,0.32515,0.01883,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1908.52,0.75208,0.40699,0.01537,0.94618,0.9284,0.9756,0.82398,0.64972,0.31956,0.01837,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1966.22,0.74697,0.39456,0.01528,0.93808,0.93851,0.97141,0.81597,0.65652,0.33269,0.01873,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2024.06,0.73849,0.39545,0.01502,0.94402,0.9461,0.97556,0.81825,0.65337,0.32207,0.01842,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2081.87,0.73456,0.39099,0.01495,0.95097,0.9363,0.9759,0.82357,0.64266,0.31521,0.01804,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2139.47,0.74156,0.40062,0.01507,0.93916,0.94383,0.97641,0.82286,0.64846,0.32145,0.01821,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2197.17,0.73135,0.38614,0.01488,0.935,0.94895,0.97204,0.82525,0.6346,0.33342,0.01781,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2254.84,0.73128,0.37953,0.01492,0.94422,0.94047,0.97589,0.82875,0.63462,0.3178,0.01771,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2312.62,0.72568,0.39119,0.01466,0.93699,0.94517,0.97538,0.82728,0.6274,0.31657,0.01747,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2370.67,0.72413,0.37939,0.01475,0.94257,0.94208,0.97148,0.82318,0.64069,0.3195,0.01797,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2428.33,0.72301,0.38121,0.01456,0.93951,0.9461,0.97061,0.82835,0.62763,0.3281,0.01758,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2486.1,0.70303,0.37558,0.01426,0.95261,0.93799,0.97143,0.8282,0.62053,0.32261,0.01726,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2543.57,0.70248,0.37311,0.01422,0.94539,0.93805,0.97675,0.83279,0.62419,0.31664,0.01741,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2601.27,0.69506,0.36499,0.01407,0.94064,0.94851,0.9765,0.82845,0.62935,0.3122,0.01761,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2659.01,0.6951,0.36716,0.01404,0.95161,0.93805,0.9779,0.82989,0.62494,0.31105,0.01765,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2716.8,0.69375,0.35769,0.01408,0.95209,0.94317,0.97259,0.83343,0.6204,0.31544,0.0174,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2774.52,0.68614,0.35432,0.01382,0.94737,0.94137,0.97227,0.83299,0.61848,0.31906,0.01728,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2832.18,0.68117,0.35021,0.01363,0.95659,0.9396,0.97213,0.83475,0.61458,0.30592,0.01716,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2889.95,0.67965,0.34385,0.01361,0.96344,0.93293,0.97632,0.83205,0.62332,0.31644,0.01749,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2947.51,0.66878,0.33709,0.01354,0.95661,0.94013,0.97759,0.83157,0.61836,0.3107,0.01726,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3005.39,0.6662,0.3389,0.01341,0.94847,0.94771,0.97707,0.83484,0.6168,0.31131,0.01719,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3063.2,0.66351,0.33238,0.01341,0.94887,0.94056,0.97324,0.83546,0.6186,0.31551,0.01718,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
