epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.6962,0.95614,0.93259,1.43149,0.90166,0.88415,0.92494,0.63997,1.04002,0.63873,1.68384,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254,0.00997619,0.0033254
2,105.322,0.94053,0.68173,1.41339,0.84702,0.82944,0.88948,0.62885,0.98501,0.76362,1.62048,0.0197784,0.00659281,0.0197784,0.00659281,0.0197784,0.00659281,0.0197784,0.00659281
3,153.464,1.0147,0.75743,1.46562,0.73268,0.71601,0.74569,0.45715,1.36038,1.20122,2.09382,0.0293827,0.00979422,0.0293827,0.00979422,0.0293827,0.00979422,0.0293827,0.00979422
4,201.564,1.05255,0.802,1.50138,0.7966,0.81292,0.85222,0.56327,1.15279,0.85985,1.82454,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,249.7,0.98025,0.72005,1.44303,0.85985,0.82542,0.90099,0.63626,0.98253,0.73542,1.6171,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,297.826,0.92845,0.6639,1.3977,0.90983,0.87852,0.94239,0.70945,0.84758,0.55174,1.47701,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,346.046,0.88774,0.62756,1.36451,0.87895,0.86967,0.92329,0.68888,0.86689,0.62246,1.47683,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,394.1,0.8763,0.60634,1.35403,0.89156,0.88174,0.92224,0.70059,0.85095,0.58307,1.46491,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,442.176,0.84034,0.5782,1.33035,0.89545,0.88889,0.94189,0.71264,0.83594,0.55378,1.43777,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,490.33,0.82953,0.56689,1.32221,0.90296,0.89833,0.95269,0.74016,0.7867,0.52792,1.38162,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,538.456,0.81663,0.55298,1.31171,0.91113,0.90829,0.94411,0.73445,0.78915,0.49389,1.38553,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,586.534,0.80175,0.53952,1.29895,0.91648,0.90928,0.95261,0.75077,0.76772,0.46669,1.36732,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,634.709,0.7829,0.52537,1.28763,0.9305,0.91311,0.95764,0.7577,0.74217,0.45316,1.35477,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,682.854,0.77633,0.51033,1.27865,0.92384,0.90755,0.96077,0.76547,0.74267,0.47254,1.33198,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,731.019,0.77066,0.50409,1.27402,0.91549,0.91311,0.95367,0.759,0.74619,0.45205,1.34636,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,779.208,0.75171,0.48988,1.25688,0.94888,0.91093,0.96879,0.77129,0.74836,0.42743,1.34648,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,827.509,0.74503,0.48547,1.25521,0.94326,0.90953,0.96584,0.76774,0.75488,0.43744,1.35056,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,875.844,0.74005,0.47885,1.25001,0.92096,0.93564,0.96877,0.78157,0.71749,0.41731,1.30432,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,924.044,0.73092,0.47237,1.24099,0.94867,0.92184,0.97097,0.7851,0.71681,0.41201,1.30085,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,972.18,0.72562,0.46804,1.24113,0.9289,0.93546,0.96673,0.78582,0.70224,0.41144,1.28882,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1020.45,0.7213,0.46034,1.23356,0.93682,0.93162,0.96857,0.78111,0.71033,0.40457,1.28804,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1068.54,0.70375,0.45288,1.22193,0.94015,0.92679,0.97011,0.79269,0.69211,0.40716,1.28137,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1116.77,0.70632,0.45131,1.22513,0.93106,0.93438,0.9706,0.78867,0.68815,0.40766,1.2762,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1164.95,0.69901,0.44536,1.21629,0.93143,0.93988,0.97047,0.78565,0.69656,0.4029,1.27971,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1213.35,0.68657,0.43822,1.21237,0.95069,0.91231,0.97132,0.799,0.67362,0.39397,1.25487,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1261.69,0.68975,0.43514,1.21124,0.94786,0.91633,0.96976,0.79466,0.67325,0.38031,1.26431,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1309.97,0.68346,0.43165,1.20886,0.93987,0.93056,0.9714,0.79972,0.67351,0.39674,1.25601,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1358.33,0.67822,0.42352,1.20347,0.93835,0.94047,0.97135,0.80768,0.66537,0.38159,1.24832,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1406.7,0.67036,0.42227,1.19813,0.95557,0.92277,0.97131,0.79646,0.66703,0.38863,1.25952,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1455.01,0.67022,0.41535,1.19712,0.94868,0.93001,0.97177,0.80585,0.65773,0.37407,1.24493,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1503.33,0.66101,0.41296,1.18954,0.93232,0.93725,0.97496,0.81008,0.65385,0.36721,1.23395,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1551.68,0.6588,0.41013,1.18724,0.94707,0.93565,0.97148,0.80819,0.65539,0.36603,1.23663,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1600.12,0.65037,0.40561,1.18412,0.93922,0.94529,0.97217,0.80766,0.6536,0.36758,1.2278,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1648.33,0.64853,0.40085,1.1814,0.94513,0.94231,0.97613,0.81426,0.65094,0.35889,1.23016,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1696.68,0.64085,0.39621,1.17522,0.94782,0.93527,0.9746,0.81681,0.64128,0.35831,1.21389,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1744.9,0.6354,0.39131,1.17048,0.9493,0.9339,0.9678,0.81557,0.64112,0.36491,1.21459,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
